village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
238,0,7.8888888,3.3055556,2.5277777,2.0555556,11.8125,4.875,3.3125,3.625,10.058824,4.4117646,3.4705882,2.1764705,9.090909,3.5454545,3.409091,2.1363637,.52777779,.66666669,36
239,0,8.083333,3.1666667,2.4583333,2.4583333,11.695652,4.826087,3.5652175,3.3043478,9.5,4.090909,2.8181818,2.590909,10.434783,4.304348,3.1304348,3,.66666669,.5625,48
240,1,8.8947372,3.6315789,2.7894738,2.4736843,11.5,4.8571429,3.2857144,3.3571429,12.272727,5.181818,3.4545455,3.6363637,13.4,4.9000001,4.5,4,.47368422,.57894737,19
241,0,5.75,2.2,1.95,1.6,7.6086955,3.0434783,2.5217392,2.0434783,6.6666665,2.2222223,2.3888888,2.0555556,7.5833335,2.8333333,2.625,2.125,.60000002,.30000001,40
242,1,6.2608695,2.2608695,2.1304348,1.8695652,9.4615383,3.9230769,3,2.5384614,11.307693,4.6153846,3.5384614,3.1538463,12.357142,4.7142859,3.8571429,3.7857144,.47826087,1,23
243,1,5.1176472,1.7647059,2.2352941,1.1176471,8.7777777,3.2222223,3.8888888,1.6666666,7.5999999,2.5,3.0999999,2,9.5,3.7,3.2,2.5999999,.47058824,.64705884,17
244,1,5.6451612,1.9032258,2.0967741,1.6451613,7.8421054,3.2631578,2.4736843,2.1052632,8.2941179,3.1176472,2.7647059,2.4117646,10.333333,3.8,3.3333333,3.2,.51612902,.38709676,31
245,1,5.9000001,2.25,2.25,1.4,8.666667,3.6666667,2.8333333,2.1666667,8,3.2,2.8,2,10.142858,3.1428571,3.7142856,3.2857144,.44999999,.050000001,20
246,1,6.5,2.5999999,2.1500001,1.75,8.7142859,3.6428571,2.5714285,2.5,9.333333,3.4166667,3.25,2.6666667,9.333333,3.4444444,3.4444444,2.4444444,.44999999,.75,20
247,1,9.4499998,3.5999999,3.05,2.8,14.1,5.0999999,4.5999999,4.4000001,13.357142,5.1428571,4.2857141,3.9285715,13.909091,5.4545455,4.5454545,3.909091,.55000001,.25,20
